물품명,분류,원래이름,개수,단위,보유처,보유처종류,권역,시도,시군구,주소,대표전화,자료출처
개인보호구 세트,보호구,개인보호구,22742,set,광양광역방제지원센터(여수),국가기관 비축,,,,광양항,,07 해경 광역방제지원센터 비축물자
개인보호구 세트,보호구,개인보호구,22068,set,대산광역방제지원센터(태안),국가기관 비축,,,,대산항,,07 해경 광역방제지원센터 비축물자
개인보호구 세트,보호구,개인보호구세트,4,set,한국환경공단 수질오염방제센터 낙동강센터,국가기관 비축,경상권역,,,,,09 한국환경공단 수질오염방제센터
개인보호구 세트,보호구,개인보호구,2,SET,㈜삼엽,사업장,경상권역,경상남도,하동군,경상남도 하동군 금성면 금성로 31,055-4271-9220,05 사업장 보유 방제물품(화학안전공동체)
개인보호구 세트,보호구,개인보호구,21998,set,울산광역방제지원센터(울산),국가기관 비축,경상권역,울산광역시,,온산항,,07 해경 광역방제지원센터 비축물자
개인보호구 세트,보호구,개인보호구세트,4,set,한국환경공단 수질오염방제센터 한강센터,국가기관 비축,수도권,,,,,09 한국환경공단 수질오염방제센터
개인보호구 세트,보호구,안전보호구함,,3,GS칼텍스㈜ 바이오부탄올,사업장,전라권역,전라남도,여수시,전라남도 여수시 여수산단로 923-106,061-660-6268,05 사업장 보유 방제물품(화학안전공동체)
개인보호구 세트,보호구,보호구함,,28,GS칼텍스㈜ 바이오부탄올,사업장,전라권역,전라남도,여수시,전라남도 여수시 여수산단로 923-106,061-660-6268,05 사업장 보유 방제물품(화학안전공동체)
개인보호구 세트,보호구,개인보호구,5,SET,㈜로비스,사업장,전라권역,전라남도,여수시,전라남도 여수시 여수산단로 274-9,061-805-9220,05 사업장 보유 방제물품(화학안전공동체)
개인보호구 세트,보호구,개인보호구,2,EA,대정티씨 여수공장,사업장,전라권역,전라남도,여수시,전라남도 여수시 여수산단1로 310-37,061-685-3021,05 사업장 보유 방제물품(화학안전공동체)
개인보호구 세트,보호구,개인보호구함,10,EA,한국남동발전㈜ 여수발전본부,사업장,전라권역,전라남도,여수시,전라남도 여수시 여수산단로 727,070-8898-5622,05 사업장 보유 방제물품(화학안전공동체)
개인보호구 세트,보호구,방제장비(보호구),12,SET,한화에너지㈜ 여수공장,사업장,전라권역,전라남도,여수시,전라남도 여수시 산단중앙로 1445,061-689-7678,05 사업장 보유 방제물품(화학안전공동체)
개인보호구 세트,보호구,개인보호구세트,4,set,한국환경공단 수질오염방제센터 금강센터,국가기관 비축,충청권역,,,,,09 한국환경공단 수질오염방제센터
보안경·안전모,보호구,보호안경,46,EA,한국남동발전㈜ 하동발전본부,사업장,경상권역,경상남도,하동군,경상남도 하동군 금성면 경제산업로 509,070-7713-1294,05 사업장 보유 방제물품(화학안전공동체)
보안경·안전모,보호구,안면보호기,23,EA,한국남동발전㈜ 하동발전본부,사업장,경상권역,경상남도,하동군,경상남도 하동군 금성면 경제산업로 509,070-7713-1294,05 사업장 보유 방제물품(화학안전공동체)
보안경·안전모,보호구,보호안경,6,ea,한국도로공사 발안영업소 (한강청 관리),환경청·센터 장비함,수도권,경기도,화성시,경기 화성시 팔탄면 3.1만세로 879-40,031-790-2896,04 환경청·센터 방제장비함
보안경·안전모,보호구,보호경,,6EA,DSR제강㈜ 1공장,사업장,전라권역,전라남도,순천시,전라남도 순천시 서면 산단1길 15,061-729-3500,05 사업장 보유 방제물품(화학안전공동체)
