갈래,업체명,권역,시도,시군구,주소,대표전화,허가현황,처리가능폐기물,보유장비,자료출처
수집·운반,(주)남동에너지,강원권역,강원특별자치도,삼척시,강원 삼척시 우지1길 23(우지동),033-575-4585,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)태봉산업,강원권역,강원특별자치도,태백시,강원 태백시 문곡동18-3,033-581-0082,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)황소-운반,강원권역,강원특별자치도,강릉시,강원 강릉시 화부산로 8번길 4,033-655-7904,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,,,14 폐기물처리업체 전국취합
수집·운반,(합)부흥환경,강원권역,강원특별자치도,원주시,강원 원주시 지정면 보통로 561-4(보통리),033-734-6788,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,,,14 폐기물처리업체 전국취합
수집·운반,(합자)에스엠에코,강원권역,강원특별자치도,태백시,강원 태백시 싸리밭길 50(화전동),033-552-2931,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,,,14 폐기물처리업체 전국취합
수집·운반,니즈환경,강원권역,강원특별자치도,원주시,강원 원주시 문막읍 동화리 399-16,033-748-8273,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,,,14 폐기물처리업체 전국취합
수집·운반,명진산업주식회사,강원권역,강원특별자치도,삼척시,강원 삼척시 우지1길 31,033-575-3003,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,,,14 폐기물처리업체 전국취합
수집·운반,신광환경합자회사,강원권역,강원특별자치도,영월군,강원 영월군 영월읍 덕포리674-5,033-375-0104,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,,,14 폐기물처리업체 전국취합
수집·운반,중부신대한정유산업(주),강원권역,강원특별자치도,원주시,강원 원주시 소초면 흥양리1193,033-747-4255,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,,,14 폐기물처리업체 전국취합
수집·운반,지우건설(주),강원권역,강원특별자치도,강릉시,강원 강릉시 월대산로 85-36(입암동),033-655-3533,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,,,14 폐기물처리업체 전국취합
수집·운반,천지에너텍,강원권역,강원특별자치도,원주시,강원 원주시 문막읍 만디길 31(궁촌리) 천지에너텍,033-732-3328,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,,,14 폐기물처리업체 전국취합
수집·운반,하나그린(주),강원권역,강원특별자치도,원주시,강원 원주시 판부면 서곡길 177,033-761-0765,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,,,14 폐기물처리업체 전국취합
수집·운반,행운기업주식회사(지정운반),강원권역,강원특별자치도,영월군,강원 영월군 영월읍 봉래산로 169,033-375-4455,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,,,14 폐기물처리업체 전국취합
수집·운반,형제에너지(주),강원권역,강원특별자치도,강릉시,강원 강릉시 강변로692번길 16,033-655-5177,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)강명산업사,경상권역,경상남도,김해시,경상남도 김해시 김해대로1685번길 13,055-339-9852,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용,,,14 폐기물처리업체 전국취합
수집·운반,(주)경남로지스,경상권역,경상남도,양산시,경남 양산시 산막공단로 56,055-387-2277,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용 / 지정폐기물 수집운반업체 (울산센터 관할),"액상, 고상, 액.고상",,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,(주)광동산업,경상권역,경상남도,양산시,경남 양산시 상북면 율리길 47-22,055-375-5552,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 지정폐기물 수집운반업체 (울산센터 관할),고상,,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,(주)그린에코텍,경상권역,경상남도,창원시,경남 창원시 성산구 정동로162번길 57 3층 3-3호,055-261-3363,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)그린환경,경상권역,경상남도,고성군,경남 고성군 고성읍 이당리294-2,055-674-7766,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)금화로지스,경상권역,경상남도,김해시,경상남도 김해시 함박로 51 2층,055-327-9867,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,,,14 폐기물처리업체 전국취합
수집·운반,(주)대원씨앤티,경상권역,경상남도,양산시,경남 양산시 북정공단1길 97,055-785-2002,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 지정폐기물 중간처분 (울산센터 관할),"폐산, 폐알칼리",,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,(주)도원산업,경상권역,경상남도,양산시,경상남도 양산시 어실로 482-1,055-387-0026,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용 / 지정폐기물 수집운반업체 (울산센터 관할),"액상, 고상",,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,(주)동남정유 제2공장,경상권역,경상남도,양산시,경남 양산시 산막공단북4길 30,055-335-3521,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 지정폐기물 수집운반업체 (울산센터 관할),액상,,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
수집·운반,(주)동방금속,경상권역,경상남도,김해시,경남 양산시 상북면 소토2길 28(258-7),055-374-5501,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 지정폐기물 수집운반업체 (울산센터 관할),액상,,03 지자체 관할 폐기물·중장비 업체 / 14 폐기물처리업체 전국취합
