갈래,업체명,권역,시도,업체명,허가현황,자료출처
수집·운반,(주)남동에너지,강원권역,강원특별자치도,(주)남동에너지,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,14 폐기물처리업체 전국취합
수집·운반,(주)태봉산업,강원권역,강원특별자치도,(주)태봉산업,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,14 폐기물처리업체 전국취합
수집·운반,(주)황소-운반,강원권역,강원특별자치도,(주)황소-운반,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,14 폐기물처리업체 전국취합
수집·운반,(합)부흥환경,강원권역,강원특별자치도,(합)부흥환경,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,14 폐기물처리업체 전국취합
수집·운반,(합자)에스엠에코,강원권역,강원특별자치도,(합자)에스엠에코,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,14 폐기물처리업체 전국취합
수집·운반,니즈환경,강원권역,강원특별자치도,니즈환경,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,14 폐기물처리업체 전국취합
수집·운반,명진산업주식회사,강원권역,강원특별자치도,명진산업주식회사,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,14 폐기물처리업체 전국취합
수집·운반,신광환경합자회사,강원권역,강원특별자치도,신광환경합자회사,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,14 폐기물처리업체 전국취합
수집·운반,중부신대한정유산업(주),강원권역,강원특별자치도,중부신대한정유산업(주),수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,14 폐기물처리업체 전국취합
수집·운반,지우건설(주),강원권역,강원특별자치도,지우건설(주),수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,14 폐기물처리업체 전국취합
수집·운반,천지에너텍,강원권역,강원특별자치도,천지에너텍,수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,14 폐기물처리업체 전국취합
수집·운반,하나그린(주),강원권역,강원특별자치도,하나그린(주),수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,14 폐기물처리업체 전국취합
수집·운반,행운기업주식회사(지정운반),강원권역,강원특별자치도,행운기업주식회사(지정운반),수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,14 폐기물처리업체 전국취합
수집·운반,형제에너지(주),강원권역,강원특별자치도,형제에너지(주),수집·운반업 · 처리방법 수집·운반 · 원주지방환경청,14 폐기물처리업체 전국취합
수집·운반,(주)강명산업사,경상권역,경상남도,(주)강명산업사,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용,14 폐기물처리업체 전국취합
수집·운반,(주)그린에코텍,경상권역,경상남도,(주)그린에코텍,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)그린환경,경상권역,경상남도,(주)그린환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)금화로지스,경상권역,경상남도,(주)금화로지스,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)만수,경상권역,경상남도,(주)만수,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)삼우오엔이,경상권역,경상남도,(주)삼우오엔이,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)새나라환경(운반),경상권역,경상남도,(주)새나라환경(운반),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)승현알엔티,경상권역,경상남도,(주)승현알엔티,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)아시아환경,경상권역,경상남도,(주)아시아환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)에스제이랜드,경상권역,경상남도,(주)에스제이랜드,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)에코원,경상권역,경상남도,(주)에코원,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)엠에스,경상권역,경상남도,(주)엠에스,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)오엔이(ONE),경상권역,경상남도,(주)오엔이(ONE),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
