폴더,파일,형식,읽었는지,드라이브 파일ID
5.(전체)방재DB,1. (지자체) 방재장비 및 폐기물·중장비 업체 현황.xlsx,xlsx,읽음,1CM5Bs3iFEvx151fhm0KhH9sk2HU8T1jD
5.(전체)방재DB,2-1. (사업장) 폐기물처리업체_취합.xls,xls(구형식),"읽음 (1,505행) — 파일을 내려받아 처리",1QC7KibtRsuhv_Gg-RPsmxEKMIIQKAlsi
5.(전체)방재DB,2-2. (사업장) 방제물품_화학안전공동체.zip,zip 46MB,안 열어 봄 — 같은 내용의 xlsx 사용,1L1cn1kvLIU0rxWxl5xAqFVlxDDa-2f3n
5.(전체)방재DB,2-3. (사업장) 전국 독성가스 처리업체.hwp,hwp,읽음 — 회수업체가 원래 2곳뿐,1CIrB3RiaYo5vdpWtS3RFd58ADcY0KS8V
5.(전체)방재DB,2-4. (사업장) 전국 ERaCV 보유 업체 현황.hwp,hwp,읽음 — 붙임2 xlsx 와 같은 내용(19곳),1B-_fCh2iC-qSdTgw95g_UggCd-PQLNRJ
5.(전체)방재DB,2-5. (사업장) 민간 방제 선박.xlsx,xlsx,읽음 — 내용은 해경 비축기지와 동일(파일 바뀐 듯),1sg9fAif8sR--46XfMDgZSC8i2ZLl9p-P
5.(전체)방재DB,3-1. (청센터) 방제장비함.xlsx,xlsx,읽음,1gnf5Q3ZqE1lAaFePUIP_aQGR4rVro7If
5.(전체)방재DB,3-2. 수질오염방제센터 방제물품 현황.xlsx,xlsx,읽음,171t5EWH3hxjoy3WRqJ4hqoOSyJmwCU4A
5.(전체)방재DB,4-1. (해양경찰) 화학 방제정_추가 필요.hwp,hwp,읽음 — 장비·자재 현황과 같은 내용,1tsiju58EvgfQ5HrUe2ZNFEYDtaBT6Rev
5.(전체)방재DB,4-2. (해양경찰) 방제비축기지.xlsx,xlsx,읽음 · 원본 파일로 재대조 완료,1JEbo-ykWPLSFkXfDuUmsfAoiEw3QfTRK
5.(전체)방재DB,붙임1. 독성가스 취급 사업장 현황.xlsx,xlsx,"읽음 (4,277행)",1rYipxFBXTzBA9NRqSvpghlGfLxrxNEIy
5.(전체)방재DB,붙임2. 봄베 회수용 비상캡슐 보유 업체 현황.xlsx,xlsx,읽음,1kuHd4Icol6SVaYqIYyNmS4UFCth9Jgpp
1.지자체,((전국)) 지자체 보유 방재 장비.xlsx,xlsx,읽음 (437행),1gl40dvpG9R9Ay8whWlguQpcKeR-GR7wC
1.지자체,26.3.10.기준_지자체 방제DB 회신 현황.xlsx,xlsx,읽음 (243행),1SuZd9uTbEjESY8RBk20sJcai9qCUnTiz
1.지자체,읍면 방제장비 및 중장비업체 현황.xlsx,xlsx,읽음 — 진천군 한 곳뿐·연락처가 전부 개인 휴대전화,1Fs8exMkt1KgfyVDuyE9UTEP-ELHpC5KP
1.지자체,지자체 회신 자료/ (시·도 17개 폴더),폴더,안 열어 봄 — 위 전국 취합본으로 갈음,
2.사업장,4.화학안전공동체/(사업장) 방제물품_화학안전공동체.xlsx,xlsx,읽음,1U9T4YntJi8OcsHkU0Yfe37Lm56nkUIjL
2.사업장,5.방재물품 업체/ 시·도별 조사표 14개,xlsx/xls,안 열어 봄 — 취합본이 없어 개별 확인 필요,
2.사업장,5.방재물품 업체/전남 광주지역 방제약품 등 판매업 현황.hwp,hwp,읽음 (11곳) — 자료 기준이 '17년,18yCfeITAIYUKpo77JNdsh7C4KsQxaMvD
2.사업장,2.중합방지제/방합방지제 판매업체 현황 및 연락처.xlsx,xlsx,읽음 (3행),11vJQxlw0TjW6De53psnTGlNy5tvvLZ0j
3.환경청(공단),3.지정폐기물/(유역청 7개 파일),xlsx,7개 모두 읽음 (대구청은 사용자가 파일로 건네줌),
3.환경청(공단),2.수질오염방제센터/2025년 점검결과.pdf 등,pdf,안 열어 봄,
4.해양경찰청,"해양경찰 자료/장비,자재 현황(24년).hwp",hwp,읽음 — 방제정 목표27·보유25·진행3,1Lw_t0VZ655yO9vDUJsYwmNHHhAXmmlT_
4.해양경찰청,해양경찰 자료/광역방제지원센터.hwpx,hwpx,읽음 — 기존 3개 센터의 제원(준공·공사비),1p5JcWPvOmuR3M3WlIrtyS8WYZpitUzjO
4.해양경찰청,해양경찰 자료/방제함정 부두.hwpx,hwpx,읽음 — 표08 방제정 25척과 같은 내용,1USvR8sW6oX95mMFt9zFCk8n-ohvYnaS-
(뿌리),유해화학물질 보관 저장업 비상대응정보집(경기)_최종.pdf,pdf 155MB,⚠ 유일하게 못 읽은 것 — 용량이 커서 별도 확인 필요,1Mevy8nQJY6YmPpXhy_tVxl1PYcQLLYKA
