연번,구분,시도,시군구,부서,주소,대표전화,보관장소,빈탱크로리,굴착기,암롤차,스키드로더,진공흡입차량,지게차,방독면,보호복,장갑,장화,소석회,마른모래,중탄산나트륨,흡착포,유처리제
1,광역,서울특별시,서울특별시,소방재난본부 재난대응과,서울특별시 중구 퇴계로26길 52,02-3706-1423,소방재난본부,-,-,-,-,-,-,-,458,39,45,86,-,195,-,-
2,광역,서울특별시,서울특별시,서울아리수본부 수질과,서울특별시 서대문구 서소문로 51,02-3146-1322,서울아리수본부,-,-,-,-,-,-,-,157,179,137,11390,-,-,69박스,-
3,광역,서울특별시,서울특별시,미래한강본부 수상관리과,서울특별시 성동구 강변북로 257,02-3780-0790,미래한강본부,-,-,-,-,-,-,-,-,-,-,-,-,-,154박스,-
4,광역,서울특별시,서울특별시,미래한강본부 녹지관리과,서울특별시 성동구 강변북로 257,02-3780-0845,미래한강본부,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
5,광역,서울특별시,서울특별시,서울대공원 조경과,경기도 과천시 대공원광장로 102,02-500-7512,서울대공원,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
6,광역,서울특별시,서울특별시,서울대공원 운영과,경기도 과천시 대공원광장로 102,02-500-7342,서울대공원,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
7,광역,서울특별시,서울특별시,강서도로사업소 기전과,서울특별시 강서구 양천로 237,02-2657-7962,강서도로사업소,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
8,광역,서울특별시,서울특별시,남부도로사업소 기전과,서울특별시 영등포구 도림로 145,02-3284-5434,남부도로사업소,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
9,광역,서울특별시,서울특별시,동부도로사업소 기전과,서울특별시 강남구 남부순환로 3142-33,02-2040-0330,동부도로사업소,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
10,광역,서울특별시,서울특별시,북부도로사업소 기전과,서울특별시 강북구 한천로 913,02-944-5474,북부도로사업소,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
11,광역,서울특별시,서울특별시,서부도로사업소 기전과,서울특별시 마포구 가양대로 203,02-300-8397,서부도로사업소,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
12,광역,서울특별시,서울특별시,성동도로사업소 기전과,서울특별시 성동구 자동차시장길 41,02-2210-1557,성동도로사업소,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
13,기초,서울특별시,강동구,기후환경과,서울시 강동구 성내로 25,02-3425-5922,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-
14,기초,서울특별시,강북구,재난안전과,서울특별시 강북구 도봉로 323(용신빌딩) 10층,02-901-5878,강북구청 외,-,2,-,-,1,2,3,3,3,3,-,60,-,10박스,-
15,기초,서울특별시,강서구,기후환경과,서울특별시 강서구 양천로59길 38,02-2600-4014,강서구청,-,-,-,-,-,-,-,4,-,-,-,-,-,10박스,-
16,기초,서울특별시,광진구,환경과,서울특별시 광진구 아차산로 400,02-450-7805,광진구청 등,-,-,-,-,-,-,-,-,-,2,2,3,40,800,126
17,기초,서울특별시,광진구,청소과,서울특별시 광진구 천호대로 788,02-450-7604,광진구 행정차고지,-,2,5,,7,2,-,-,-,-,-,-,-,-,-
18,기초,서울특별시,구로구,환경과,서울특별시 구로구 가마산로 245,02-860-2875,구로구 항동 차고지(차량),-,-,-,-,6,-,-,-,,-,-,-,-,9박스,-
19,기초,서울특별시,구로구,환경과,서울특별시 구로구 가마산로 245,02-860-2875,환경과 창고(흡착포),-,-,-,-,-,-,-,-,-,-,-,-,-,"1,800개",-
20,기초,서울특별시,금천구,환경과,서울시 금천구 시흥대로73길 70,02-2627-1515,청사 등,-,-,-,2,-,1,12907,20,-,-,-,9875,25,"6박스(100매/박스), 4개(50m/개)",54
21,기초,서울특별시,노원구,녹색환경과,"서울 노원구 노해로 455, 9층",02-2116-3213,노원구청 등,-,-,4,1,4,-,-,-,3,7,-,-,-,6박스,-
22,기초,서울특별시,동대문구,안전재난과,서울특별시 동대문구 천호대로 145,02-2127-4500,각 동 주민센터,-,-,-,-,-,-,2006,-,-,-,-,-,-,-,-
23,기초,서울특별시,동대문구,보건행정과,서울특별시 동대문구 천호대로 145,02-2127-4142,구립전일청소년독서실,-,-,-,-,-,-,-,9192,1000,-,-,-,-,-,-
24,기초,서울특별시,동대문구,청소행정과,서울특별시 동대문구 천호대로 145,02-2127-4378,"휘경동 7-18, 휘경청소차고지",-,-,5,-,-,1,-,-,-,-,-,-,-,-,-
25,기초,서울특별시,동작구,환경과,서울특별시 동작구 장승배기로 70,02-820-1311,보라매공원 집하장 창고,-,-,,-,-,-,-,-,-,-,-,-,-,20박스,54
26,기초,서울특별시,마포구,깨끗한마포과,서울 마포구 월드컵로 212,02-3153-9232,청소차고지,-,-,4,1,-,1,-,-,-,-,-,-,-,-,-
27,기초,서울특별시,마포구,맑은환경과,서울 마포구 월드컵로 212,02-3153-9265,방제창고,-,-,-,-,-,-,-,-,-,20,-,-,-,22,27
28,기초,서울특별시,서대문구,기후환경과,서울 서대문구 연희로 248,02-330-8276,서대문구청,-,-,-,-,-,-,-,-,-,-,-,-,-,22박스,-
29,광역,서울특별시,서초구,안전도시과 기후환경과,서울 서초구 남부순환로 2584 서초구청,02-2155-7112 02-2155-6470,서초구청,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
30,기초,서울특별시,성동구,기후에너지과,서울시 성동구 고산자로 270,02-2286-5499,성동구청,-,-,-,-,-,-,-,-,17,27,-,-,-,9,-
31,기초,서울특별시,성북구,환경과,성북구 보문로 168,02-2241-3046,성북구청 환경과 등,-,-,-,-,-,-,-,-,-,-,-,-,-,80/1,-
32,기초,서울특별시,송파구,맑은환경과,서울특별시 송파구 올림픽로 326,02-2147-3272,송파구청 등,-,-,-,-,-,-,5,10,5,2,-,-,-,2박스,76
33,기초,서울특별시,양천구,청소행정과,서울특별시 양천구 목동동로 105,02-2620-3431,클린센터,-,1,1,-,5,1,8,8,8,8,-,-,-,-,-
34,기초,서울특별시,양천구,환경과,서울특별시 양천구 목동동로 105,02-2620-4856,목동유수지창고,-,-,-,-,-,-,10,10,10,10,-,-,-,27박스,-
35,기초,서울특별시,영등포구,환경과,"서울특별시 영등포구 선유동1로 80, 영등포구청 별관 3층 환경과",02-2670-3461,영등포구청 별관 5층 창고,-,-,-,-,-,-,-,-,-,3,-,-,-,12박스,-
36,기초,서울특별시,용산구,맑은환경과,서울특별시 용산구 녹사평대로 150,02-2199-7662,용산구청,-,-,-,-,-,-,-,-,-,-,-,-,-,700개,1000
37,기초,서울특별시,은평구,기후환경과,서울시 은평구 은평로 195,02-351-7622,불광천 방재창고,-,-,-,-,-,-,-,-,-,-,-,-,-,23박스,36kg
38,기초,서울특별시,은평구,안전관리과,서울시 은평구 은평로 195,02-351-7712,은평구청 등,-,-,-,-,-,-,16394,-,-,-,-,-,-,-,-
39,기초,서울특별시,중구,환경과,서울특별시 중구 창경궁로 17,02-3396-5615,"송정동 청소차고지, 구청내 창고 등",-,-,2,-,3,1,1008,300,-,-,-,-,-,2박스,-
40,기초,서울특별시,중랑구,맑은환경과,서울 중랑구 봉화산로 190,02-2094-2432,중랑구청,-,-,-,-,-,-,-,-,-,6,-,-,-,17,-
41,광역,세종특별자치시,세종특별자치시,환경정책과,"세종특별자치시 호려울로 19, 스마트허브Ⅲ (보람동)",044-300-4242,세종시청 등,-,-,-,-,-,-,5,5,4,3,-,-,-,2,486
42,기초,부산광역시,강서구,환경위생과,부산광역시 강서구 낙동북로 477,051-970-4165,창고 등,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
43,기초,부산광역시,금정구,환경위생과,부산광역시 금정구 중앙대로 1777,051-519-4396,환경위생과 창고,-,-,-,-,-,-,-,-,-,-,-,-,-,17박스,36
44,기초,부산광역시,금정구,안전관리과,부산광역시 금정구 중앙대로 1777,051-519-4477,금정구청 안전관리과,-,-,-,-,-,-,-,4000,-,-,-,-,-,-,-
45,기초,부산광역시,금정구,자원순환과,"부산광역시 금정구 중앙대로 1777(부곡동, 금정구청)",051-519-4461,금정구청 차고지,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
46,광역,부산광역시,기장군,환경위생과,부산광역시 기장군 기장대로 560,051-709-2725,기장군청,-,-,-,-,9,-,-,-,10,10,-,-,-,17,108
47,기초,부산광역시,남구,안전총괄과,부산광역시 남구 못골로 19,051-607-4646,남구청 1층 창고 등,-,-,-,-,-,2,207,660,-,167,-,-,-,-,-
48,기초,부산광역시,남구,환경위생과,부산광역시 남구 못골로 19,051-607-4395,남구청 지하1층,-,-,-,-,-,-,-,-,6,-,-,-,-,14박스,198L
49,기초,부산광역시,부산진구,환경위생과,부산광역시 부산진구 시민공원로 30,051-605-4395,부산진구청 등,-,-,-,-,-,-,-,-,-,-,-,-,-,26,648
50,기초,부산광역시,부산진구,안전도시과,부산광역시 부산진구 시민공원로 30,051-605-4134,부산진구청 등,-,-,-,-,-,-,"18,507",20,-,-,-,-,-,,
51,기초,부산광역시,북구,환경위생과,부산광역시 북구 낙동대로 1570번길 33 (구포동),051-309-4392,낙동대로 1570번길 33,-,-,-,-,-,-,10,10,10,10,-,-,-,10,90
52,기초,부산광역시,북구,도시관리과,부산광역시 북구 낙동대로 1570번길 33 (구포동),051-309-4712,덕천동 311-1 (도로정비 제2보관소),-,-,-,-,-,-,-,-,-,-,-,"1,000",-,-,-
53,기초,부산광역시,북구,자원순환과,부산광역시 북구 낙동대로 1570번길 33 (구포동),051-309-4455,만덕고개길 28,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
54,기초,부산광역시,북구,자원순환과,부산광역시 북구 낙동대로 1570번길 33 (구포동),051-309-4432,덕천동 755,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
55,기초,부산광역시,사상구,안전총괄과,부산광역시 사상구 학감대로 242,051-310-4132,학감대로242 (사상구청),-,-,-,-,-,-,246,12,12,12,-,-,-,,
56,기초,부산광역시,사상구,환경위생과,부산광역시 사상구 학감대로 242,051-310-4396,학감대로242 (사상구청),-,-,-,-,-,-,,5,10,16,-,-,-,78박스,774
