연번,관할청센터,시도,시군구,부서,주소,대표전화,보관장소,빈탱크로리,굴착기,암롤차,스키드로더,진공흡입차량,지게차,방독면,보호복,장갑,장화,소석회,마른모래,중탄산나트륨,흡착포,유처리제
1,시흥센터,경기도,시흥시,환경정책과,경기도 시흥시 시청로 20,031-310-5993,시흥시청,0,0,0,0,0,0,88,83,83,112,-,-,-,132박스,540
2,서산센터,충청남도,보령시,기후환경과,충청남도 보령시 성주산로 77,041-930-3677,보령시청 등,-,1,-,-,-,-,-,-,-,-,-,-,-,80박스,"1,024"
3,서산센터,충청남도,서산시,기후환경대기과,충청남도 서산시 고운로 177,041-661-8278,서산시청 등,-,8,-,1,2,3,24,15,15,10,-,-,-,5,-
4,서산센터,충청남도,서천군,환경보호과,충청남도 서천군 서천읍 서림로 19,041-950-4332,장항읍 옥남리 1077,-,1,-,2,-,1,23,20,10,10,-,100,-,10,0
5,서산센터,충청남도,아산시,환경보전과,충청남도 아산시 시민로 456,041-540-2440,아산시청,-,-,-,-,-,-,2,4,16,8,-,-,-,20박스,580
6,서산센터,충청남도,예산군,환경과,충청남도 예산군 예산군 군청로 22,041-339-7512,예산군맑은누리센터 등,-,-,-,-,-,-,-,-,-,3,-,-,-,-,"1,062"
7,서산센터,충청남도,청양군,환경정책과,충청남도 청양군 청양읍 문화예술로 222,041-940-4825,자원순환센터,0,2,3,-,-,3,5,5,5,5,-,-,-,10박스,-
8,서산센터,충청남도,청양군,건설정책과,충청남도 청양군 청양읍 문화예술로 222,041-940-2984,청양군청,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
9,서산센터,전라남도,태안군,환경관리과,충청남도 태안군 군청길 1,041-670-2790,태안군 등,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
10,서산센터,충청남도,홍성군,환경과,충청남도 홍성군 홍성읍 아문길 27,041-630-1767,홍성군청 등,-,-,-,-,-,-,"5,242",31,31,31,-,-,-,45,540
11,서산센터,충청남도,당진시,도로과,충청남도 당진시 시청1로 1,041-350-3306,당진시청 등,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-
12,서산센터,충청남도,당진시,자원순환과,충청남도 당진시 시청1로 1,041-350-3306,당진시청 등,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
13,서산센터,충청남도,당진시,환경관리사업소,충청남도 당진시 시청1로 1,041-360-6761,"당진시 가축분뇨자원화센터, 폐기물매립장",-,-,-,-,-,-,-,-,-,10,-,-,-,10,-
