연번,관할청센터,업종,업체명,주소,대표전화,대상폐기물,보유장비,대수
1,시흥센터,폐기물 수집·운반업체,코어엔텍,경기도 시흥시 소망공원로 5(정왕동 1235-7),031-499-2525 031-488-1192,"폐합성수지, 폐합성섬유(고상) 등",탱크로리,3
2,시흥센터,폐기물 수집·운반업체,코어엔텍,경기도 시흥시 소망공원로 5(정왕동 1235-7),031-499-2525 031-488-1192,"폐합성수지, 폐합성섬유(고상) 등",암롤트럭,4
3,시흥센터,폐기물 수집·운반업체,천지에너지㈜,경기도 시흥시 옥구천서로81번길 13(정왕동 1697-2 시화공단 1마 503),031-498-3251,"폐유, 폐유기용제 등",탱크로리,20
4,시흥센터,폐기물 수집·운반업체,천지에너지㈜,경기도 시흥시 옥구천서로81번길 13(정왕동 1697-2 시화공단 1마 503),031-498-3251,"폐유, 폐유기용제 등",카고트럭,6
5,시흥센터,폐기물 수집·운반업체,천지에너지㈜,경기도 시흥시 옥구천서로81번길 13(정왕동 1697-2 시화공단 1마 503),031-498-3251,"폐유, 폐유기용제 등",컨테이너박스트럭,15
6,시흥센터,폐기물 수집·운반업체,천지에너지㈜,경기도 시흥시 옥구천서로81번길 13(정왕동 1697-2 시화공단 1마 503),031-498-3251,"폐유, 폐유기용제 등",집게차,1
7,시흥센터,폐기물 수집·운반업체,㈜남양에너지,"경기도 시흥시 옥구천서로 81번길 73(시화공단 1마, 702, 703호)(정왕동 1353-1,2 시화공단 1마 702, 703호)",031-433-7011,"폐유, 폐유기용제 등",탱크로리,7
8,시흥센터,폐기물 수집·운반업체,㈜남양에너지,"경기도 시흥시 옥구천서로 81번길 73(시화공단 1마, 702, 703호)(정왕동 1353-1,2 시화공단 1마 702, 703호)",031-433-7011,"폐유, 폐유기용제 등",카고트럭,8
9,시흥센터,폐기물 수집·운반업체,㈜상우환경,경기도 시흥시 정왕동 1728-17 금성프라자 304호,031-431-0619,"폐유, 폐유기용제 등",암롤트럭,1
10,시흥센터,폐기물 수집·운반업체,(주)초심,"경기도 시흥시 연성로 13번길 5-4, 402호 403호",031-319-9030,"폐유, 폐유기용제 등",탑차,8
11,시흥센터,폐기물 수집·운반업체,㈜범진환경,경기도 시흥시 봉우재로175번길 36-4 2층,031-499-6322,"폐유, 폐유기용제 등",암롤트럭,3
12,시흥센터,폐기물 수집·운반업체,㈜범진환경,경기도 시흥시 봉우재로175번길 36-4 2층,031-499-6322,"폐유, 폐유기용제 등",집게차,1
13,시흥센터,폐기물 수집·운반업체,㈜케이비에스산업,경기도 시흥시 정왕동 2321-1블랙이글빌딩 5층,031-488-9371,"(액상) 폐유, 폐유기용제, 폐산",탱크로리,1
14,시흥센터,폐기물 수집·운반업체,주식회사 에스케이와이서비스,경기도 시흥시 서해안로 736번길 220(2층),031-432-4646,"폐유, 폐유기용제 등",탱크로리,1
15,시흥센터,폐기물 수집·운반업체,주식회사 에스케이와이서비스,경기도 시흥시 서해안로 736번길 220(2층),031-432-4646,"폐유, 폐유기용제 등",탑차,5
16,시흥센터,폐기물 수집·운반업체,신일정유,경기도 시흥시 옥구천서로81번길 34,031-498-8338,"폐유, 폐유기용제 등",탱크로리,10
17,시흥센터,폐기물 수집·운반업체,신일정유,경기도 시흥시 옥구천서로81번길 34,031-498-8338,"폐유, 폐유기용제 등",탑차,5
18,시흥센터,폐기물 수집·운반업체,㈜위캔두,"경기도 시흥시 하중로 193, 202호",031-431-9973,"폐유, 폐유기용제 등",탱크로리,2
19,시흥센터,폐기물 수집·운반업체,㈜위캔두,"경기도 시흥시 하중로 193, 202호",031-431-9973,"폐유, 폐유기용제 등",암롤트럭,2
20,시흥센터,폐기물 수집·운반업체,㈜위캔두,"경기도 시흥시 하중로 193, 202호",031-431-9973,"폐유, 폐유기용제 등",카고트럭,8
21,시흥센터,폐기물 수집·운반업체,㈜위캔두,"경기도 시흥시 하중로 193, 202호",031-431-9973,"폐유, 폐유기용제 등",집게차,2
22,시흥센터,폐기물 수집·운반업체,수정환경,"경기도 시흥시 정왕동 2210, SB센타 3층 315호",031-495-5257,"폐유, 폐유기용제 등",탱크로리,1
23,시흥센터,폐기물 수집·운반업체,수정환경,"경기도 시흥시 정왕동 2210, SB센타 3층 315호",031-495-5257,"폐유, 폐유기용제 등",윙바디,1
24,시흥센터,폐기물 수집·운반업체,에코프라임 주식회사,"경기도 시흥시 오이도로 21, 725호",031-8042-5122,"폐유, 폐유기용제 등",윙바디,5
25,시흥센터,폐기물 수집·운반업체,에코프라임 주식회사,"경기도 시흥시 오이도로 21, 725호",031-8042-5122,"폐유, 폐유기용제 등",탑차,1
26,시흥센터,폐기물 수집·운반업체,㈜케이엘에코,"경기도 시흥시 오이도로 21, 에이랜드 에쓰비센타 617호",031-365-3947,"폐유, 폐유기용제, 폐유독물 등",윙바디,2
27,시흥센터,폐기물 중간처리업체,케이지이티에스㈜,경기도 시흥시 소망공원로 5(정왕동 1235-7),031-499-2525,"폐유, 폐유기용제, 폐유독물 등",탱크로리,3
28,시흥센터,폐기물 중간처리업체,케이지이티에스㈜,경기도 시흥시 소망공원로 5(정왕동 1235-7),031-499-2525,"폐유, 폐유기용제, 폐유독물 등",암롤트럭,4
