연번,설치장소,산단·고속도로,주소,관리주체,방재장비,단위,컨테이너장비함,간이방재함,계,연락망
1-1,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,화학물질 흡착포(붐형 대 6개),box,-,-,1,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-2,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,화학물질 흡착재(붐형 12개),box,-,-,4,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-3,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,화학물질 흡착포(필로우형 10개),box,-,-,3,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-4,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,화학물질 흡착포(패드형 100매),box,-,-,6,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-5,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,유류흡착포(100매),box,-,-,2,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-6,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,화학보호복 3∼4형식,ea,-,-,6,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-7,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,내화학 장갑,ea,-,-,6,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-8,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,내화학 장화,ea,-,-,6,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-9,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,보호안경,ea,-,-,6,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-10,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,반면형 방독면,ea,-,-,6,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-11,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,정화통,ea,-,-,6,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-12,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,산중화제(20L),통,-,-,1,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-13,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,알칼리중화제(20L),통,-,-,1,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-14,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,일회용 우의,ea,-,-,100,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-15,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,1급 방진마스크,ea,-,-,100,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-16,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,완코팅 장갑,ea,-,-,100,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
1-17,한국도로공사 발안영업소,안산JCT∼서평택IC 및 서평택JCT∼남안성IC 구간 고속도로,경기 화성시 팔탄면 3.1만세로 879-40,한강청,멸균 생리식염수(20㎖),ea,-,-,300,"(주간) 031-790-2896, 02-2084-1423 (야간) 031-790-2590, 02-2084-1400"
2-1,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,화학물질 흡착포(붐형 대),box,-,-,1,-
2-2,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,화학물질 흡착재(붐형),box,-,-,4,-
2-3,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,화학물질 흡착포(필로우형),box,-,-,3,-
2-4,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,화학물질 흡착포(패드형),box,-,-,6,-
2-5,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,유류흡착포,box,-,-,2,-
2-6,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,화학보호복 3\~4형식,ea,-,-,5,-
2-7,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,화학보호복 1형식,ea,-,-,1,-
2-8,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,내화학 장갑,ea,-,-,5,-
2-9,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,내화학 장화,ea,-,-,5,-
2-10,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,전면형 방독면,ea,-,-,5,-
2-11,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,정화통,ea,-,-,5,-
2-12,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,모래주머니(4kg),포,-,-,20,-
2-13,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,톱밥(40kg pp포대),포,-,-,10,-
2-14,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,눈삽,ea,-,-,1,-
2-15,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,빗자루,ea,-,-,1,-
2-16,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,쓰레받기(함석),ea,-,-,1,-
2-17,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,양동이(20L),ea,-,-,1,-
2-18,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,분말중화기,대,-,-,2,-
2-19,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,액상분말기,대,-,-,1,-
2-20,청주 ic,청주산업단지,충북 청주시 흥덕구 비하동 492-1,금강청,유기용제 흡착제,포,-,-,10,-
3-1,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,화학물질 흡착포(붐형 대),box,-,-,1,-
3-2,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,화학물질 흡착재(붐형),box,-,-,3,-
3-3,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,화학물질 흡착포(필로우형),box,-,-,3,-
3-4,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,화학물질 흡착포(패드형),box,-,-,5,-
3-5,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,유류흡착포,box,-,-,2,-
3-6,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,화학보호복 3형식,ea,-,-,5,-
3-7,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,화학보호복 1형식,ea,-,-,1,-
3-8,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,내화학 장갑,ea,-,-,5,-
3-9,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,내화학 장화,ea,-,-,5,-
3-10,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,전면형 방독면,ea,-,-,5,-
3-11,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,정화통,ea,-,-,5,-
3-12,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,빗자루,ea,-,-,1,-
3-13,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,쓰레받기(함석),ea,-,-,1,-
3-14,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,양동이(20L),ea,-,-,1,-
3-15,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,눈삽,ea,-,-,1,-
3-16,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,모래주머니(4kg),ea,-,-,20,-
3-17,남공주영업소,검상농공단지,충남 공주시 논산천안고속도로 40,금강청,톱밥(40kg pp포대),ea,-,-,10,-
4-1,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,화학물질 흡착포(붐형 대),box,-,-,1,-
4-2,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,화학물질 흡착재(붐형),box,-,-,5,-
4-3,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,화학물질 흡착포(필로우형),box,-,-,5,-
4-4,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,화학물질 흡착포(패드형),box,-,-,5,-
4-5,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,유류흡착포,box,-,-,2,-
4-6,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,화학보호복 3형식,ea,-,-,10,-
4-7,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,화학보호복 1형식,ea,-,-,1,-
4-8,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,내화학 장갑,ea,-,-,10,-
4-9,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,내화학 장화,ea,-,-,10,-
4-10,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,전면형 방독면,ea,-,-,10,-
4-11,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,정화통,ea,-,-,10,-
4-12,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,눈삽,ea,-,-,1,-
4-13,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,빗자루,ea,-,-,1,-
4-14,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,쓰레받기(함석),ea,-,-,1,-
4-15,당진영업소,서해안 고속도로 당진IC,충남 당진시 송압읍 반촌로 224,금강청,양동이(20L),ea,-,-,1,-
5-1,서오창영업소,경부고속도로(5분) 중부고속도로(5분),충북 청주시 청원구 오창읍 두릉유리로 726-60,금강청,화학물질 흡착재(붐형),box,-,-,2,-
5-2,서오창영업소,경부고속도로(5분) 중부고속도로(5분),충북 청주시 청원구 오창읍 두릉유리로 726-60,금강청,화학물질 흡착포(필로우형),box,-,-,5,-
5-3,서오창영업소,경부고속도로(5분) 중부고속도로(5분),충북 청주시 청원구 오창읍 두릉유리로 726-60,금강청,화학물질 흡착포(패드형),box,-,-,3,-
5-4,서오창영업소,경부고속도로(5분) 중부고속도로(5분),충북 청주시 청원구 오창읍 두릉유리로 726-60,금강청,유류흡착포,box,-,-,5,-
5-5,서오창영업소,경부고속도로(5분) 중부고속도로(5분),충북 청주시 청원구 오창읍 두릉유리로 726-60,금강청,화학보호복 3형식,ea,-,-,5,-
5-6,서오창영업소,경부고속도로(5분) 중부고속도로(5분),충북 청주시 청원구 오창읍 두릉유리로 726-60,금강청,내화학 장갑,ea,-,-,5,-
5-7,서오창영업소,경부고속도로(5분) 중부고속도로(5분),충북 청주시 청원구 오창읍 두릉유리로 726-60,금강청,내화학 장화,ea,-,-,5,-
5-8,서오창영업소,경부고속도로(5분) 중부고속도로(5분),충북 청주시 청원구 오창읍 두릉유리로 726-60,금강청,전면형 방독면,ea,-,-,5,-
5-9,서오창영업소,경부고속도로(5분) 중부고속도로(5분),충북 청주시 청원구 오창읍 두릉유리로 726-60,금강청,정화통,ea,-,-,5,-
5-10,서오창영업소,경부고속도로(5분) 중부고속도로(5분),충북 청주시 청원구 오창읍 두릉유리로 726-60,금강청,빗자루,ea,-,-,1,-
5-11,서오창영업소,경부고속도로(5분) 중부고속도로(5분),충북 청주시 청원구 오창읍 두릉유리로 726-60,금강청,쓰레받기(함석),ea,-,-,1,-
5-12,서오창영업소,경부고속도로(5분) 중부고속도로(5분),충북 청주시 청원구 오창읍 두릉유리로 726-60,금강청,양동이(20L),ea,-,-,1,-
5-13,서오창영업소,경부고속도로(5분) 중부고속도로(5분),충북 청주시 청원구 오창읍 두릉유리로 726-60,금강청,모래주머니(4kg),ea,-,-,30,-
5-14,서오창영업소,경부고속도로(5분) 중부고속도로(5분),충북 청주시 청원구 오창읍 두릉유리로 726-60,금강청,톱밥(40kg pp포대),ea,-,-,10,-
6-1,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,Level C 보호복,ea,-,-,5,-
6-2,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,Level C 마스크(전면형),ea,-,-,5,-
6-3,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,Level C 정화통,ea,-,-,5,-
6-4,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,Level C 보호장갑(유기화합물용),ea,-,-,5,-
6-5,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,Level C 보호장화(내산),ea,-,-,5,-
6-6,북천안영업소,"경부고속도로, 반도체 공단(1㎞)",충남 천안시 서북구 성거읍 도토성길 146,금강청,화학물질흡착포(붐형),box,-,-,5,-
