업체명,소재지,대표전화,장비·인력,단위,수량
구다우케미칼,전라남도 여수시 중흥동 751-1,061-690-7808,유흡착제,BOX,2
구다우케미칼,전라남도 여수시 중흥동 751-1,061-690-7808,반면형마스크,EA,10
구다우케미칼,전라남도 여수시 중흥동 751-1,061-690-7808,보호장갑,EA,30
구다우케미칼,전라남도 여수시 중흥동 751-1,061-690-7808,보호장화,EA,8
구다우케미칼,전라남도 여수시 중흥동 751-1,061-690-7808,방재인원,명,24
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,소방차,1대,1
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,가스검지기,46대,46
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,양압식공기호흡기,대(60분용),38
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,양압식공기호흡기,대(30분용),15
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,양압식공기호흡기,EA,5
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,오실레이팅모티터,대,2
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,분말살포기,대,1
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,화학복(1형식),EA,4
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,"화학복(3,4형식)",EA,100
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,화학장갑,EA,50
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,방독면(전면형),SET,20
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,방독면,SET,50
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,소석회,포,80
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,규조토(반면형),포,100
금호미쓰이화학㈜,전라남도 여수시 여수산단2로 305,061-688-5090 061-688-5095,흡착포,BOX,20
금호석유화학㈜ 여수고무제1공장,전라남도 여수시 여수산단 3로118,061-688-3135 061-688-3136,소방차,대,1
금호석유화학㈜ 여수고무제1공장,전라남도 여수시 여수산단 3로118,061-688-3135 061-688-3136,흡착포,EA,155
금호석유화학㈜ 여수고무제1공장,전라남도 여수시 여수산단 3로118,061-688-3135 061-688-3136,방독면,EA,100
금호석유화학㈜ 여수고무제1공장,전라남도 여수시 여수산단 3로118,061-688-3135 061-688-3136,가스측정기,EA,15
금호석유화학㈜ 여수고무제1공장,전라남도 여수시 여수산단 3로118,061-688-3135 061-688-3136,풍향계,EA,3
금호석유화학㈜ 여수고무제1공장,전라남도 여수시 여수산단 3로118,061-688-3135 061-688-3136,규조토(20KG),EA,50
금호석유화학㈜ 여수고무제1공장,전라남도 여수시 여수산단 3로118,061-688-3135 061-688-3136,소석회(20KG),EA,100
금호석유화학㈜ 여수고무제1공장,전라남도 여수시 여수산단 3로118,061-688-3135 061-688-3136,유처리제,L,300
금호석유화학㈜ 여수고무제1공장,전라남도 여수시 여수산단 3로118,061-688-3135 061-688-3136,방재인원,명,10
금호석유화학㈜ 여수고무제2공장,전라남도 여수시 산단중앙로33,061-688-7261,소방차,대,1
금호석유화학㈜ 여수고무제2공장,전라남도 여수시 산단중앙로33,061-688-7261,흡착포,EA,500
금호석유화학㈜ 여수고무제2공장,전라남도 여수시 산단중앙로33,061-688-7261,방독면,EA,50
금호석유화학㈜ 여수고무제2공장,전라남도 여수시 산단중앙로33,061-688-7261,가스측정기,EA,1
금호석유화학㈜ 여수고무제2공장,전라남도 여수시 산단중앙로33,061-688-7261,수중PUMP,EA,1
금호석유화학㈜ 여수고무제2공장,전라남도 여수시 산단중앙로33,061-688-7261,모래,KG,250
금호석유화학㈜ 여수고무제2공장,전라남도 여수시 산단중앙로33,061-688-7261,액상소석회,L,500
금호석유화학㈜ 여수고무제2공장,전라남도 여수시 산단중앙로33,061-688-7261,방재인원,명,5
금호석유화학㈜ 여수정밀화학공장,전라남도 여수시 여수산단2로 227,061-688-3943,유처리제,EA,4
금호석유화학㈜ 여수정밀화학공장,전라남도 여수시 여수산단2로 227,061-688-3943,유흡착제,EA,20
금호석유화학㈜ 여수정밀화학공장,전라남도 여수시 여수산단2로 227,061-688-3943,반면형마스크,EA,20
금호석유화학㈜ 여수정밀화학공장,전라남도 여수시 여수산단2로 227,061-688-3943,전면형마스크,EA,80
금호석유화학㈜ 여수정밀화학공장,전라남도 여수시 여수산단2로 227,061-688-3943,보호장갑,A,90
금호석유화학㈜ 여수정밀화학공장,전라남도 여수시 여수산단2로 227,061-688-3943,보호장화,EA,46
금호석유화학㈜ 여수정밀화학공장,전라남도 여수시 여수산단2로 227,061-688-3943,내화학복,EA,200
금호석유화학㈜ 여수정밀화학공장,전라남도 여수시 여수산단2로 227,061-688-3943,방재인원,명,122
금호석유화학㈜ 제1열병합발전소,전라남도 여수시 여수산단2로 46-51,061-688-3943,유흡착제,EA,3
금호석유화학㈜ 제1열병합발전소,전라남도 여수시 여수산단2로 46-51,061-688-3943,반면형마스크,EA,10
금호석유화학㈜ 제1열병합발전소,전라남도 여수시 여수산단2로 46-51,061-688-3943,보호장갑,EA,6
금호석유화학㈜ 제1열병합발전소,전라남도 여수시 여수산단2로 46-51,061-688-3943,보호장화,EA,4
금호석유화학㈜ 제1열병합발전소,전라남도 여수시 여수산단2로 46-51,061-688-3943,방독마스크(전면형),EA,7
금호석유화학㈜ 제1열병합발전소,전라남도 여수시 여수산단2로 46-51,061-688-3943,내화학복,EA,7
금호석유화학㈜ 제1열병합발전소,전라남도 여수시 여수산단2로 46-51,061-688-3943,방재인원,명,52
금호석유화학㈜ 제2열병합발전소,전라남도 여수시 여수산단2로 233-84,061-688-3943,유흡착제,EA,4
금호석유화학㈜ 제2열병합발전소,전라남도 여수시 여수산단2로 233-84,061-688-3943,반면형마스크,EA,18
금호석유화학㈜ 제2열병합발전소,전라남도 여수시 여수산단2로 233-84,061-688-3943,보호장갑,EA,11
금호석유화학㈜ 제2열병합발전소,전라남도 여수시 여수산단2로 233-84,061-688-3943,보호장화,EA,8
금호석유화학㈜ 제2열병합발전소,전라남도 여수시 여수산단2로 233-84,061-688-3943,방독마스크(전면형),EA,11
금호석유화학㈜ 제2열병합발전소,전라남도 여수시 여수산단2로 233-84,061-688-3943,내화학복,EA,11
금호석유화학㈜ 제2열병합발전소,전라남도 여수시 여수산단2로 233-84,061-688-3943,방재인원,명,47
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,화학차,대,2
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,포트레일러,대,1
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,구급차,대,1
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,포크레인,대,6
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,도우저,대,15
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,지게차,대,20
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,공기호흡기,EA,22
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,가스측정기(독성),EA,2
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,가스측정기(가연성),EA,8
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,포소화설비(고정포),EA,6
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,포소화설비(보조포),EA,13
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,자동화재탐지설비,EA,23
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,누전경보기,EA,2
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,비상경보 설비/발신기,EA,173
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,비상방송기,EA,1
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,화학복-A,EA,10
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,화학복-C,EA,200
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,중화제(소석회),KG,4150
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,흡착포(유흡착제),EA,1020
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,오일휀스,M,260
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,유화제,L,1944
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,소화기(분말),EA,800
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,소화기(CO2),EA,125
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,소화기(할론),EA,10
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,옥내소화전,EA,80
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,옥외소화전,EA,161
남해화학㈜,전라남도 여수시 여수산돈로 1384,061-688-5752,물분무소화설비,EA,8
닛소남해아그로㈜,전라남도 여수시 여수산단로 1384,061-900-3531,유흡착제,EA,100
닛소남해아그로㈜,전라남도 여수시 여수산단로 1384,061-900-3531,화학흡착제,EA,100
닛소남해아그로㈜,전라남도 여수시 여수산단로 1384,061-900-3531,호흡보호구(반면형),EA,20
닛소남해아그로㈜,전라남도 여수시 여수산단로 1384,061-900-3531,호흡보호구(전면형),EA,30
닛소남해아그로㈜,전라남도 여수시 여수산단로 1384,061-900-3531,송기마스크,EA,4
닛소남해아그로㈜,전라남도 여수시 여수산단로 1384,061-900-3531,전동식마스크,EA,3
닛소남해아그로㈜,전라남도 여수시 여수산단로 1384,061-900-3531,공기호흡기,EA,3
닛소남해아그로㈜,전라남도 여수시 여수산단로 1384,061-900-3531,공기호흡기,SET,3
닛소남해아그로㈜,전라남도 여수시 여수산단로 1384,061-900-3531,안면보호면,EA,5
닛소남해아그로㈜,전라남도 여수시 여수산단로 1384,061-900-3531,보안경,EA,5
닛소남해아그로㈜,전라남도 여수시 여수산단로 1384,061-900-3531,화학장화,EA,14
닛소남해아그로㈜,전라남도 여수시 여수산단로 1384,061-900-3531,화학장갑(알파텍),EA,72
닛소남해아그로㈜,전라남도 여수시 여수산단로 1384,061-900-3531,방재인원,명,31
대림산업㈜ 여수공장,전라남도 여수시 여수산단2로 220-10,061-688-6481,공기통 마스크,EA,12
대림산업㈜ 여수공장,전라남도 여수시 여수산단2로 220-10,061-688-6481,방수복,SET,8
대림산업㈜ 여수공장,전라남도 여수시 여수산단2로 220-10,061-688-6481,방열복,EA,2
대림산업㈜ 여수공장,전라남도 여수시 여수산단2로 220-10,061-688-6481,방열장갑,EA,2
대림산업㈜ 여수공장,전라남도 여수시 여수산단2로 220-10,061-688-6481,방열장화,EA,2
대림산업㈜ 여수공장,전라남도 여수시 여수산단2로 220-10,061-688-6481,방화복,EA,3
