연번,업체명,주소,대표전화,시설분류,취급가스물질,CAS번호,허가량,법정기준일,관할지사
1,(주)MS가스,부산광역시 사상구 가야대로176번길 92 (주)MS가스,0513255501,일반판매,암모니아,7664-41-7,0,19960326,부산광역본부
2,(주)MS가스,부산광역시 사상구 가야대로176번길 92 (주)MS가스,0513255501,일반판매,브롬화수소,10035-10-6,0,19960326,부산광역본부
3,(주)MS가스,부산광역시 사상구 가야대로176번길 92 (주)MS가스,0513255501,일반판매,삼불화붕소,7637-07-2,0,19960326,부산광역본부
4,(주)MS가스,부산광역시 사상구 가야대로176번길 92 (주)MS가스,0513255501,일반판매,브롬화메탄,74-83-9,0,19960326,부산광역본부
5,부산공동어시장 조합공동사업법인,부산광역시 서구 충무대로 202 (남부민동),0512548966,냉동제조,암모니아,7664-41-7,445.8RT,19960701,부산광역본부
6,(주)경해냉장지점,부산광역시 서구 충무대로 166-47 (남부민동),0512548693,냉동제조,암모니아,7664-41-7,358.2RT,19960819,부산광역본부
7,정양산업(주),부산광역시 사하구 원양로 359 (감천동),0512067575,냉동제조,암모니아,7664-41-7,467.67RT,19960614,부산광역본부
8,정현아이스텍(주),부산광역시 사하구 감천항로 250,0512656631,냉동제조,암모니아,7664-41-7,150.01RT,19970408,부산광역본부
9,(주)냉장인터불고,부산광역시 사하구 다대로 359 (장림동),0512614881,냉동제조,암모니아,7664-41-7,123.24RT,19960626,부산광역본부
10,(주)부산해사랑,부산광역시 사하구 을숙도대로 717 (구평동),0517126332,냉동제조,암모니아,7664-41-7,325.9RT,19960509,부산광역본부
11,미광냉동(주),부산광역시 사하구 다대로605번길 5 (다대동),0512639141,냉동제조,암모니아,7664-41-7,306.4RT,19970422,부산광역본부
12,청호냉동(주),부산광역시 사하구 신산로 190,0512026151,냉동제조,암모니아,7664-41-7,140.8RT,19961224,부산광역본부
13,고려수산(주),부산광역시 사하구 원양로 353 (감천동),0512013161,냉동제조,암모니아,7664-41-7,347.7RT,19961115,부산광역본부
14,(주)삼화농수산,부산광역시 사하구 장평로71번길 10 (장림동),0512637331,냉동제조,암모니아,7664-41-7,266.88RT,19970630,부산광역본부
15,동양섬유(주)부산지점,부산광역시 사하구 장림로 304 (장림동),0512618001,냉동제조,암모니아,7664-41-7,140.8RT,19970129,부산광역본부
16,부경웰푸드(주),부산광역시 사하구 장림번영로84번길 21 (장림동),0512617322,냉동제조,암모니아,7664-41-7,72.9RT,19970617,부산광역본부
17,(주)신우농수산 제2공장,부산광역시 사하구 다대동로6번길 21,0512634913,냉동제조,암모니아,7664-41-7,345.9RT,19960729,부산광역본부
18,(주)성보냉장 감천공장,부산광역시 사하구 감천항로 12,0512934365,냉동제조,암모니아,7664-41-7,148.6RT,19970521,부산광역본부
19,삼일냉장(주)제2물류센터,부산광역시 사하구 감천항로 239 (구평동),0512646400,냉동제조,암모니아,7664-41-7,182.56RT,19970408,부산광역본부
20,금양제빙2공장,부산광역시 서구 해안새벽시장길 54(충무동),0512421231,냉동제조,암모니아,7664-41-7,299.5RT,19970401,부산광역본부
21,삼일냉장(주),부산광역시 사하구 서포로 36 (구평동),0512623101,냉동제조,암모니아,7664-41-7,320.5RT,19960618,부산광역본부
22,대한수산(주),부산광역시 사하구 원양로 349 (감천동),0512015561,냉동제조,암모니아,7664-41-7,495.8RT,19960918,부산광역본부
23,(주)하하물산,부산광역시 사하구 을숙도대로 761 (구평동),0512623318,냉동제조,암모니아,7664-41-7,253RT,19961218,부산광역본부
24,희창물산(주),부산광역시 서구 충무대로 146,0512414184,냉동제조,암모니아,7664-41-7,366.8RT,19960906,부산광역본부
25,(주)우신냉장,부산광역시 서구 등대로 123 (남부민동),0512463900,냉동제조,암모니아,7664-41-7,288RT,19960825,부산광역본부
26,한동냉장,부산광역시 사상구 새벽시장로 16 (감전동),0513156796,냉동제조,암모니아,7664-41-7,108.4RT,19960528,부산광역본부
27,(주)사조대림 부산공장,부산광역시 서구 충무대로 170 (남부민동),0512502173,냉동제조,암모니아,7664-41-7,323.4RT,19960730,부산광역본부
28,(주)백화 부민지점,부산광역시 서구 충무대로 166-41 (남부민동),0512548255,냉동제조,암모니아,7664-41-7,495.2RT,19970217,부산광역본부
29,모피코냉장(주)부산공장,부산광역시 서구 등대로 122-3 (남부민동),0512548218,냉동제조,암모니아,7664-41-7,96.9RT,19960819,부산광역본부
30,미광냉동(주),부산광역시 사하구 다대로605번길 25 (다대동),0512617773,냉동제조,암모니아,7664-41-7,363.3RT,19960612,부산광역본부
31,훼미리식품(주)부산공장,부산광역시 사하구 하신중앙로 140 (신평동),0512070850,냉동제조,암모니아,7664-41-7,358.21RT,20131203,부산광역본부
32,연우냉동(주),부산광역시 서구 충무대로 228 (남부민동),0512568241,냉동제조,암모니아,7664-41-7,140.8RT,19970509,부산광역본부
33,우양냉장(주)제1공장,부산광역시 서구 충무대로 226 (남부민1동),0512487621,냉동제조,암모니아,7664-41-7,424.16RT,19970305,부산광역본부
34,신라에스지(주)부산공장,부산광역시 사상구 낙동대로 1414 (삼락동),0513095830,냉동제조,암모니아,7664-41-7,101.4RT,19971117,부산광역본부
35,(주)케이엠,부산광역시 서구 충무대로 214,0512547234,냉동제조,암모니아,7664-41-7,430.18RT,19961118,부산광역본부
36,(주)장수 부산지점,부산광역시 사하구 다대로605번길 17,0512648900,냉동제조,암모니아,7664-41-7,346.43RT,19960607,부산광역본부
