비축기지,위치,연면적,시설형태,방재장비,단위,수량
광양광역방제지원센터(여수),광양항,"2,424㎡",3층 철골구조,개인보호구,set,"22,742"
광양광역방제지원센터(여수),광양항,"2,424㎡",3층 철골구조,수거포대,장,"20,448"
광양광역방제지원센터(여수),광양항,"2,424㎡",3층 철골구조,오일펜스,km,2.23
광양광역방제지원센터(여수),광양항,"2,424㎡",3층 철골구조,유처리제,ℓ,7.83
광양광역방제지원센터(여수),광양항,"2,424㎡",3층 철골구조,유흡착재,ton,42.42
광양광역방제지원센터(여수),광양항,"2,424㎡",3층 철골구조,작업도구,set,597
광양광역방제지원센터(여수),광양항,"2,424㎡",3층 철골구조,저장용기,㎥,347.5
대산광역방제지원센터(태안),대산항,"1,731㎡",단층 철골구조,개인보호구,set,"22,068"
대산광역방제지원센터(태안),대산항,"1,731㎡",단층 철골구조,수거포대,장,"20,425"
대산광역방제지원센터(태안),대산항,"1,731㎡",단층 철골구조,오일펜스,km,2.08
대산광역방제지원센터(태안),대산항,"1,731㎡",단층 철골구조,유처리제,ℓ,8.96
대산광역방제지원센터(태안),대산항,"1,731㎡",단층 철골구조,유흡착재,ton,38.72
대산광역방제지원센터(태안),대산항,"1,731㎡",단층 철골구조,작업도구,set,462
대산광역방제지원센터(태안),대산항,"1,731㎡",단층 철골구조,저장용기,㎥,352.2
울산광역방제지원센터(울산),온산항,"2,082㎡",2층 철골구조,개인보호구,set,"21,998"
울산광역방제지원센터(울산),온산항,"2,082㎡",2층 철골구조,수거포대,장,"17,064"
울산광역방제지원센터(울산),온산항,"2,082㎡",2층 철골구조,오일펜스,km,2.86
울산광역방제지원센터(울산),온산항,"2,082㎡",2층 철골구조,유처리제,ℓ,5.99
울산광역방제지원센터(울산),온산항,"2,082㎡",2층 철골구조,유흡착재,ton,38.65
울산광역방제지원센터(울산),온산항,"2,082㎡",2층 철골구조,작업도구,set,380
울산광역방제지원센터(울산),온산항,"2,082㎡",2층 철골구조,저장용기,㎥,239.3
