소속,선명,선형,톤급,정박지
속초,2호,단동선,150,속초항 해경전용부두
동해,3호,단동선,150,묵호항 해경전용부두
울진,22호,단동선,150,후포항 해경전용부두
포항,6호,단동선,150,포항구항 해경전용부두
여수,15호함,단동선,300,신북항 해경전용부두
여수,화학2함,단동선,500,여수 봉산동 해경전용부두
여수,26호,쌍동선,150,여수 봉산동 해경전용부두
완도,1호,단동선,150,완도항 해경전용부두
목포,20호,단동선,300,목포 북항 해경전용부두
목포,16호함,단동선,800,목포 북항 해경전용부두
부안,7호,쌍동선,150,군산항 해경전용부두
군산,8호,쌍동선,150,군산항 해경전용부두
보령,10호,쌍동선,150,대천항 해경전용부두
태안,9호,쌍동선,150,신진항 해경전용부두
평택,21호,단동선,300,평택항 해경전용부두
평택,23호,쌍동선,150,평택항 해경전용부두
인천,19호,단동선,300,인천항 해경전용부두
울산,13호함,단동선,800,울산항 일반부두
울산,화학1함,단동선,500,울산항 해경전용부두
부산,18호,단동선,300,부산항 해경전용부두
부산,12호함,단동선,800,부산항 해경전용부두
창원,25호,쌍동선,150,마산항 해경전용부두
통영,11호,쌍동선,150,통영항 해경전용부두
제주,17호,단동선,150,제주항 전용부두
서귀포,5호,단동선,150,화순항 전용부두
