구분,장비명,단위,한강(수도권동부),낙동강(대구경북),금강(충청권),영산강(광주전남제주)
선박,수질감시선,척,-,2,1,1
선박,기동방제선,척,-,2,-,-
선박,방제바지선,척,-,-,1,-
보조방제선,FRP선,척,1,1,1,-
보조방제선,모터고무보트(6인),척,1,2,1,-
보조방제선,모터고무보트(2인),척,1,1,1,1
보조방제선,립보트,척,1,1,1,1
차량,기동방제차량,대,1,2,1,1
차량,방제장비견인차량,대,2,2,1,1
차량,1톤 기동방제차량,대,1,1,1,1
차량,궤도형운반차량,대,-,-,1,-
차량,방제물품트레일러,대,11,-,-,-
차량,전동지게차(2.0톤),대,-,2,-,1
차량,4륜오토바이,대,-,1,-,1
유회수기,(대형) 경질유용,대,1,2,1,1
유회수기,(대형) 중질유용,대,1,1,1,1
유회수기,소형,대,1,1,1,1
유회수기,자항식,대,2,2,2,2
유회수기,진공흡입기,대,1,1,1,-
기타,멀티콥터,대,1,2,2,2
기타,방제지원용 무인선,대,1,2,1,1
기타,컨베이어벨트,개,-,-,4,-
기타,측정기기 5종,개,8,13,7,7
기타,기타 보조방제장비 5종,개,8,10,5,10
방제물품,오일펜스,m,"1,820","1,600","1,540","1,580"
방제물품,유흡착재(매트형) 10kg/Box,Box,247,343,125,184
방제물품,유흡착재(매트형) 5kg/Box,Box,-,-,31,-
방제물품,유흡착제(롤형) 10kg/Box,Box,260,164,102,178
방제물품,유흡착제(롤형) 5kg/Box,Box,-,-,53,-
방제물품,유흡착제(붐형) 10kg/Box,Box,203,154,96,136
방제물품,유흡착제(붐형) 20kg/Box,Box,-,-,24,-
방제물품,유겔화제 5kg/can,can,-,-,13,-
방제물품,유겔화제 10kg/Box,Box,4,-,12,-
방제물품,유처리제 캔(18L),캔,26,57,20,22
방제물품,회수유 저장용기,개,12,26,10,10
방제물품,수동분무기,개,6,7,3,2
방제물품,전동분무기,개,4,3,3,5
방제물품,일회용방제복,벌,359,237,99,800
방제물품,긴급처리Bag,개,2,5,1,4
방제물품,기름응고제,Box,2,-,50,-
방제물품,기름제거붐,개,3,6,5,-
방제물품,필로우,개,2,4,2,-
방제물품,개인보호구세트,set,4,4,4,-
방제물품,케미컬흡착재(패드형),Box,28,13,14,10
방제물품,케미컬흡착재(필로우형),Box,30,19,18,19
방제물품,케미컬흡착재(붐형),Box,28,14,14,10
방제물품,Level C 보호복,벌,13,12,14,10
방제물품,Level C 보호장화,개,22,14,14,17
방제물품,Level C 마스크(전면형),개,26,14,12,10
방제물품,Level C 마스크(반면형),개,13,22,5,1
방제물품,Level C 정화통,개,26,13,9,18
방제물품,Level C 정화통(복합가스),개,13,24,5,1
방제물품,Level C 보호장갑,개,46,40,40,26
방제물품,폐기물봉투,팩,18,8,8,4
