업체명,주소,장비명,용량,대표전화,비고
SK하이닉스㈜,충청북도 청주시 흥덕구 대신로 215,더블유아이씨 sc-017,47L,043-907-9999,
(주)원익머트리얼즈,충청북도 청주시 청원구 오창읍 과학산업3로 112,ECO-HP-46/SC-002,930/47L,043-210-4678,2대
TEMC㈜,충청북도 보은군 삼승면 남부로 3750-148,더블유아이씨 안전실린더,130L,043-298-3333,
TEMC 씨앤에스,충청북도 보은군 삼승면 우진리 592,더블유아이씨 sc-013,47L,031-8052-9065,
한국가스안전공사 산업가스안전기술센터,충청북도 진천군 덕산읍 산수산단2로 76,대흥티엔씨 ERCV-고압용기 밀봉캡슐 / 대영엔지니어링 50L·100L,"47L×2, 100L×1",043-750-1742,3대
LG디스플레이,경상북도 구미시 3공단2로 174,DY-SC W125100,470/930L,054-478-5223,2대
㈜엠에스가스 청주공장,충북 청주시 청원구 오창읍 호죽화산로 315,더블유아이씨 sc,47L,043-724-1215,
㈜엠에스머트리얼즈,충북 예산군 고덕면 예당산단3길 39,더블유아이씨 sc,47L,041-856-5551,
㈜엠에스머트리얼즈,충남 공주시 우성면 군량골길 25-52,더블유아이씨 sc,47L,041-856-5551,
에어리퀴드어드밴스드머티어리얼즈코리아(알람),세종시 전의면 산단길 21-171,ECO HP 10,117L,041-856-5551,
원익머트리얼즈 양청 사업장,충북 청주시 청원구 오창읍 양청3길 30,SC-002,47L,043-210-4678,
원익머트리얼즈 전의 사업장,세종 전의면 산단길 21-125,SC-002,47L,043-210-4678,
PKC㈜,전북 군산시 임해로 494-16,액염 100kg 톤용기 안전카트/안전BOX,84/460L,063-450-1761,2대·자체제작(BOX 외부반출 불가)
DIG에어가스 반월공장,경기도 안산시 단원구 산단로 128,더블유아이씨 SC-024,140L,031-8099-7680,
린데코리아㈜ 현곡공장,경기도 평택시 청북읍 현곡산단로94번길 48,TG168,168L,031-337-8180,
에어리퀴드코리아 천안공장,충남 천안시 서북구 3공단1로 88,대영이엔지 DY-HPCV050-002,50L,041-621-0102,
에어리퀴드솔루션즈코리아 천안2공장,충남 천안시 동남구 성남면 대화리 328,대영이엔지 DY-HPCV050-002,50L,041-599-9000,
디아이지에어가스 대전공장,대전광역시 대덕구 신일동로 45,DS-SS-0003,50L,031-8099-7680,
㈜후성,울산광역시 남구 장생포로 336,JSMT ERCV,125L,052-208-8223,200bar
