연번,구분,업소명,소재지,대표전화,대상폐기물
1,종합재활용,㈜세일정유,"경북 칠곡군 약목면 교8길 113-20, 113-8",054-975-3100,"폐유(폐윤활유,내연기관유,산업유,선박유), 그밖의폐유기용제, 폐유성페인트, 폐락카"
2,종합재활용,㈜이화실업,경북 경산시 진량읍 일연로 639-8,053-851-7390,"폐산(폐염산, 폐황산, 기타폐산)"
3,종합재활용,사회복지법인 행복한사람들,경북 칠곡군 왜관읍 공단로3길 17-27,054-974-3030,"절연유 PCBs 농도가 2㎎/L 미만 함유된 폐변압기, 폐유가 5% 이상 함유된 폐베어링 및 폐용접기"
4,종합재활용,㈜케이엠씨,경북 구미시 3공단3로 40(시미동 167),054-472-0051,"폐산(액상), 폐유기용제(고상, 2차전지 제조 공정폐기물)"
5,종합재활용,한국비철㈜,대구시 달성군 논공읍 비슬로264길 23(구. 논공읍 상리 783),053-617-6300,"폐황산이 포함된 2차폐축전지, 그 밖의 폐알칼리, 그 밖의 공정오니, 광재, 분진"
6,종합재활용,㈜영신금속,경북 경산시 진량읍 공단4로 78,053-856-6486~8,폐유(금속성폐촉매)
7,종합재활용,한빛에너지㈜,경북 경산시 자인면 한장군로 480,053-854-4747,폐유(액상)
8,종합재활용,신오케미칼㈜구미1공장,경북 구미시 옥계2공단로 125(구.구미시 구포동 638),054-475-8018,"폐산(폐염화철, 폐염산, 폐염화동, 폐황산), 그 밖의 공정오니, 폐알카리"
9,종합재활용,㈜주원에너지,경북 경주시 안강읍 두류길 207,054-762-9140,"폐유(윤활유, 산업유, 내연기관유, 선박유 등 재생가능한 액상 폐유)"
10,종합재활용,우석클린㈜,경북 영천시 채신2공단길 79-18(채신동 657-1 외 1필지),054-336-8999,"폐유(폐오일휠터,철재.플라스틱용기류), 폐유기용제(플라스틱용기류)"
11,종합재활용,㈜제이씨,경북 고령군 대가야읍 장기공단1길 112(구. 대가야읍 장기리 281),054-956-4508,폐산(폐황산)
12,종합재활용,㈜신성에너텍,경북 영천시 금호읍 오계공단길 28,054-332-3401,"폐유
(06-01-05) 폐오일필터"
13,종합재활용,보강산업,경북 칠곡군 가산면 학신로 94-15,054-971-4145,"폐유(철제 및 프라스틱 용기류), 폐유기용제(철제 및 플라스틱 용기류)"
14,종합재활용,㈜클린코리아 안강공장,경북 경주시 안강읍 두류길 162(구. 두류리 387-1),054-762-7672,"폐유(액상),폐유기용제(비할로겐족액상),폐페인트(액상)"
15,종합재활용,㈜건협(구.금창환경),경북 경산시 진량읍 평사1길 104-34,054-857-0340,"폐유(폐오일휠터, 드럼)"
16,중간재활용,㈜레스코,경북 포항시 남구 동해안로 6262,054-283-7930,"분진(STS DUST), 공정오니"
17,종합재활용,㈜강명산업사 안강지점,경북 경주시 안강읍 두류길 107,054-762-9851,"폐페인트,폐유기용제, 폐유(감압)"
18,종합재활용,㈜드림텍,경북 영천시 채신1공단길 60-7(구. 채신동 595-7),054-338-0277,"폐산(염산,황산,기타폐산)"
19,종합재활용,㈜피제이산업 영천지점,경북 영천시 칠백로 808-11(도남동 409),054-336-2290,"그 밖의 폐유(06-03-00, 액상), 그 밖의 폐광물유(06-01-99, 액상), 그 밖의 폐유기용제(04-02-00, 액상), 할로겐족 폐유기용제(04-01-00, 액상)"
20,종합재활용,홍익이서화학(주)2공장,경북 구미시 옥계2공단로 179-60(구. 구미시 구포동 643-2),054-475-0063,"폐염산(폐염화철, 폐염화동, 액상), 폐황산, 그 밖의 폐알칼리"
21,종합재활용,㈜새빗켐,"경북 김천시 공단로 98(구. 대광동 1000-23,38)",054-431-3586,"폐산(LCD·반도체 공정의 폐산, 그 밖의 폐산)"
