연번,인허가기관,시도,시군구,업체명,소재지,대표전화,업종,처리방법
1,한강유역환경청,서울특별시,강남구,(주)동명엔터프라이즈,서울 강남구 역삼동839-11 동명빌딩,02-566-8359,수집·운반업,수집·운반
2,한강유역환경청,서울특별시,강동구,(주)경기개발에너지,"서울 강동구 올림픽로 834(암사동,한강시티라이프 610호)",02-482-4782,수집·운반업,수집·운반
3,한강유역환경청,서울특별시,강동구,주식회사 에스티모빅,"서울특별시 강동구 천중로 201 3층 (길동,코튼빌딩)",02-472-5517,수집·운반업,수집·운반
4,한강유역환경청,서울특별시,관악구,(주)녹색사람들,서울 관악구 봉천동1592-9 동산빌딩3층 2,02-857-5100,수집·운반업,수집·운반
5,한강유역환경청,서울특별시,영등포구,덕양엔지니어링(주),서울 영등포구 양평동5가 122,02-2636-0997,수집·운반업,수집·운반
6,한강유역환경청,서울특별시,은평구,삼희환경,서울 은평구 응암동 91-5(2층),02-356-6037,수집·운반업,수집·운반
7,한강유역환경청,서울특별시,서대문구,(주)마이누리,"서울 서대문구 응암로 94, 2층",1800-8845,수집·운반업,수집·운반
8,한강유역환경청,서울특별시,양천구,(주)동부티엔에스,서울특별시 양천구 신정로 167 서부트럭터미널C동 1125호,02-2613-4500,수집·운반업,수집·운반
9,한강유역환경청,서울특별시,구로구,(주)서울산업컨설팅,"서울 구로구 오리로 1290, 4층",02-2683-2386,수집·운반업,수집·운반
10,한강유역환경청,서울특별시,서초구,(주)경희,서울 서초구 서초동 1714-16 원동빌딩 403호,1544-2532,수집·운반업,수집·운반
11,한강유역환경청,서울특별시,송파구,(주)삼표,"서울 송파구 올림픽로 493, N빌딩 8층(풍납동)",02-6270-0514,수집·운반업,수집·운반
12,한강유역환경청,인천광역시,강화군,(주)한강건설환경,인천 강화군 불은면 신현리1-4,032-937-4117,수집·운반업,수집·운반
13,한강유역환경청,인천광역시,계양구,인성코퍼레이션(주),인천 계양구 서운동서운산업로 47번길8,032-555-7971,수집·운반업,수집·운반
14,한강유역환경청,인천광역시,남동구,(주)지앤에스환경,인천 남동구 고잔동630 비동 240호,032-815-3187,수집·운반업,수집·운반
15,한강유역환경청,인천광역시,남동구,(주)이지엔텍,인천 남동구 구월동 1148-4 3층,0328151881,수집·운반업,수집·운반
16,한강유역환경청,인천광역시,남동구,예담환경(주),"인천광역시 남동구 남동서로236번길 40 (논현동,예성빌딩)",032-822-9068,수집·운반업,수집·운반
17,한강유역환경청,인천광역시,남동구,이가환경,"인천 남동구 구월로 129, 504호",032-818-7260,수집·운반업,수집·운반
18,한강유역환경청,인천광역시,남동구,욱성산업(주),인천 남동구 장수동778-4 장환빌딩 2층,032-463-3155,수집·운반업,수집·운반
19,한강유역환경청,인천광역시,남동구,삼호환경(주),"인천광역시 남동구 인주대로 793 302호 (구월동,진흥빌딩)",032-467-0142,수집·운반업,수집·운반
20,한강유역환경청,인천광역시,남동구,남동에너지(주),인천 남동구 고잔동728-7 (남동공단 157-9LT),032-812-0871,수집·운반업,수집·운반
21,한강유역환경청,인천광역시,남동구,(주)세명이앤지,인천 남동구 고잔동631(산업용품상가 제B동 254호(임대)),032-817-0361,수집·운반업,수집·운반
22,한강유역환경청,인천광역시,남동구,(주)드림월드개발,인천 남동구 고잔동150번지,032-467-0070,수집·운반업,수집·운반
23,한강유역환경청,인천광역시,남동구,에스지개발(주)(남동구),인천 남동구 논현고잔로 56,032-421-0497,수집·운반업,수집·운반
24,한강유역환경청,인천광역시,남동구,(주)정화,인천광역시 남동구 서창남순환로215번길 48,032-466-7972,수집·운반업,수집·운반
25,한강유역환경청,인천광역시,남동구,주식회사 베르데산업,인천광역시 남동구 석산로 125,0324296777,수집·운반업,수집·운반
26,한강유역환경청,인천광역시,남동구,(주)향우,"인천광역시 남동구 논고개로123번길 35, 713-2호 (논현동,칼리오페)",032-812-7101,수집·운반업,수집·운반
27,한강유역환경청,인천광역시,남동구,(주)남동이엔지,"인천광역시 남동구 논현로46번길 51 (논현동, 유승테라폴리스) 1318호",070-7543-8764,수집·운반업,수집·운반
28,한강유역환경청,인천광역시,남동구,에이치환경,인천광역시 남동구 소래역남로16번길 8-7 소래시티 602호 (논현동),07041150801,수집·운반업,수집·운반
29,한강유역환경청,인천광역시,동구,유성이엔텍,인천 동구 송림동294  산업용품유통센터 15동 306호,032-588-3830,수집·운반업,수집·운반
30,한강유역환경청,인천광역시,동구,(주)유니환경,"인천광역시 동구 보세로 29(만석동,유니환경)",032-579-4408,수집·운반업,수집·운반
31,한강유역환경청,인천광역시,동구,(주)한정특수,인천 동구 송림동295번지 (산업용품유통센타 17동 234호),032-817-8787,수집·운반업,수집·운반
32,한강유역환경청,인천광역시,동구,(주)신대한환경,인천 동구 송림동296-15,032-578-1355,수집·운반업,수집·운반
33,한강유역환경청,인천광역시,동구,그린텍(Green Tec),"인천광역시 동구 방축로83번길 23 (송현동,인천산업용품유통단지)",032-589-6166,수집·운반업,수집·운반
34,한강유역환경청,인천광역시,미추홀구,(주)이피코리아,인천 남구 학익동587-58 114호,032-831-1180,수집·운반업,수집·운반
35,한강유역환경청,인천광역시,미추홀구,진성산업개발(주),인천광역시 미추홀구 소성로 153 503호,032-467-1376,수집·운반업,수집·운반
36,한강유역환경청,인천광역시,서구,경인환경에너지(주),인천광역시 서구 사렴로65번길 24 (경서동 678-1),032-567-2929,수집·운반업,수집·운반
37,한강유역환경청,인천광역시,서구,이경화학주식회사,"인천광역시 서구 검단천로 155 (오류동,이알에스켐)",032-573-9200,수집·운반업,수집·운반
38,한강유역환경청,인천광역시,서구,(주)삼화정유,인천 서구 석남동223-259,032-578-8490,수집·운반업,수집·운반
39,한강유역환경청,인천광역시,서구,신오케미칼(주),인천 서구 석남동223-468,032-584-3901,수집·운반업,수집·운반
40,한강유역환경청,인천광역시,서구,(주)새움,인천광역시 서구 원당대로480번길 10 (왕길동 112-1),032-561-4221,수집·운반업,수집·운반
