업체명,소재지,대표전화,취급 물품·수량,비고
한국티앤에이,광주 광산구 사암로 805,062-953-0010,유독물흡착포 5박스 · 전면형방독면 100EA · 내산장갑 300EA · 보호복 200벌 · 유흡착포 10Box · 흡착붐 12EA,3M 총판
화성,전남 광양시 광양읍 회암3길 23,061-763-9020,"오일휀스-T-270K 15bag · 유독물흡착포-HP-156K 50박스 · 전면형마스크(6800) 200개 · 유기증기산 필터(6003) 1,800개 · 복합가스 필터(6006) 1,800개 · 내산장갑-C5217 900개 · 방진마스크-8822K 12,000개 · 내산안전장화 10개 · 바지장화 15개 · 보호복-MC-3000 700개 · 흡착붐-T-4 5박스",3M 총판
코니상사,전남 여수시 웅남3길,061-684-3611,유독물 흡착포 10BOX · 오일휀스 10BOX · 흡착붐 10BOX · 전면형마스크 20EA · 마스크필터 50EA · 내산장갑 100PR · 내산장화 10PR · 안전장화 20PR · 방진마스크 500EA · 일회용전신보호복 100EA · 화학용전신보호복 50EA · 보안면 100EA · 안전모 100EA · 안전화 50EA,
신한과학,전남 목포시 영산로 106-2,061-244-2571,수산화나트륨 200kg,
대성화학,광주시 광산구 하남산단2번로 30,062-951-7988,"수산화나트륨 1,000kg · 소석회 5,000kg",
진성케미칼㈜,광주시 광산구 용아로 612,062-951-6397,"수산화나트륨 2,000kg · 소석회 2,000kg · 중탄산나트륨 600kg",
남성화공약품상사,광주시 북구 중가로 5,062-223-0101,"수산화나트륨 3,000kg · 소석회 150kg · 중탄산나트륨 2,000kg",
우림크레인,광주광역시 서구 유촌동 369-2,062-956-3651,크레인 50톤 1대 · 크레인 10톤 1대,중장비
공영크레인,광주광역시 광산구 우산동 1427-1,062-454-0404,크레인 50톤·60톤·100톤·160톤 각 1대,중장비
대광크레인,전남 영암군 삼호읍 대불역로 219,061-464-2300,크레인 50톤·80톤·130톤·150톤·250톤 각 1대,중장비
창성크레인,전남 목포시 영산로 609번길 5,061-984-8733,크레인 50톤 1대,중장비
