연번,업체명,갈래,협의권역,허가번호,허가기관,허가일,최초허가,시도,주소,대표전화,전문처리분야,처리가능폐기물,보유장비,비고
1,(주)엔아이티,수집·운반,전라권,제11호,전북지방환경청,2024-11-07,2000-01-14,전북특별자치도,전북특별자치도 군산시 소룡동 1662,063-468-4141,폐기물 수집·운반업,"지정폐기물 — 폐유, 폐유기용제(할로겐족 포함), 폐합성고분자화합물, 폐산 및 폐알카리, 폐농약, 폐페인트 및 폐락카, 폴리클로리네이티드비페닐함유 폐기물, 폐유독물",수집운반차량 액상 2대(탱크로리 7.1톤·23톤) 총 적재능력 30.1톤,
2,(주)엔아이티,중간처분(소각),전라권,전주중간 제1호,전북지방환경청,2026-04-02,1998-06-11,전북특별자치도,전북 군산시 서해로 259,063-468-4141,지정폐기물 중간처분업(소각전문),"폐유, 기타 폐유기용제, 폐페인트, 폐락카, 할로겐족 폐유기용제, 폐농약, 폐촉매(고상), 폐흡착제(고상), 폐흡수제(고상), 폐유독물",,
3,(주)엔아이티,중간처분(중화),전라권,제 중간처분 37호,전북지방환경청,2023-08-16,2012-11-28,전북특별자치도,전북 군산시 서해로 259,063-468-4141,지정폐기물 중간처분업(화학적 처분),"지정폐기물 — 폐산, 폐알칼리",처리능력 폐산 10㎥/일 · 폐알칼리 5㎥/일,화학적 처분(중화) 허가증으로 확인됨
4,(주)엔아이티,종합재활용,전라권,제2009-1호,전라북도 군산시,2021-02-02,,전북특별자치도,전라북도 군산시 서해로 259(소룡동),063-468-4141,폐기물 종합재활용업,,허용보관량 4·635톤(하수처리오니 1·019톤 · 폐목재류 254.5톤 · 폐섬유류·폐합성수지류·폐합성고무류 3·361.9톤),영업대상폐기물은 허가증 붙임 — 화질·분량으로 확인 못 함
5,㈜대성에코에너지센터,중간처분(소각),충청권,제 중-164호,금강유역환경청,2020-07-24,,충청남도,충청남도 당진시 석문면 산단4로 439,041-360-7300,폐기물중간처분업(소각전문),"폐합성고분자화합물, 폐수처리오니·공정오니류, 폐촉매·폐흡착제·폐흡수제, 그 밖의 폐유기용제, 폐유, 폐페인트·폐래커, 폐농약, 폐유독물질, 폐유기용제(할로겐족)",일반소각 94톤/일 · 고온소각 94톤/일,
6,주식회사 유진환경,수집·운반,충청권,,,,2016-03-29,충청남도,"충청남도 아산시 삼동로70번길 12, 1층 102호(모종동)",041-532-8787,폐기물 수집운반업,,,허가증 앞장이 사업자등록증 — 영업대상폐기물 확인 못 함
7,대일개발(주),중간처분(소각),수도권,제 경인중간 78호,한강유역환경청,2008-01-09,1995-03-16,경기도,경기도 안산시 단원구 성곡동 시화공단 5바 514,031-498-1451,지정폐기물 중간처리업(소각 전문),,지정폐기물 소각 8.8톤/일×2기 · 고온소각 14톤/일·9.6톤/일 · 물리화학적 처리 25톤/일(폐산 20톤·폐알칼리 5톤) · 유수분리 72톤/일,영업대상폐기물은 허가증 붙임 — 확인 못 함(시설표에 폐산·폐알칼리 처리 능력 있음)
8,부경산업(주),중간처분(소각),수도권,제 경인중간 6호,한강유역환경청,2026-01-21,1993-05-13,경기도,경기도 안산시 단원구 신원로 91번길 16,031-491-3971,지정폐기물 중간처분업(소각 전문),,,영업대상폐기물은 허가증 붙임 — 확인 못 함(변경이력에 폐농약(고상) 추가 기록)
9,(주)그린,수집·운반,전라권,,영산강유역환경청,,,전라남도,전라남도 여수시 봉계3길 19,061-691-4161,폐기물처리업(지정 수집·운반),,수집·운반차량 액상 9대 71.1톤(탱크로리 6.8~16.3톤),앞장이 기재사항 정정 알림 — 영업대상폐기물 확인 못 함
10,(주)상록,수집·운반,전라권,지정수집 제100호,영산강유역환경청,2023-07-19,2019-12-13,전라남도,전남 여수시 망양로 1215-13(상암동),061-692-3501,폐기물 수집·운반업,"지정폐기물(액상) — 06-03-00 그 밖의 폐유, 04-02-00 그 밖의 폐유기용제",,영업구역 전국
11,씨이케이(주),중간처분(소각),전라권,제10-3호,영산강유역환경청,2025-07-10,1997-01-24,전라남도,전남 여수시 진달래길 310-73(월내동),061-685-4149,"지정폐기물 중간처분업(일반소각, 고온소각)",,,영업대상폐기물은 허가증 붙임 — 확인 못 함
12,씨이케이(주),중간처분(소각),전라권,제3호,여수시,2026-01-23,,전라남도,전남 여수시 진달래길 310-73(월내동),061-685-4149,일반폐기물 중간처분업(소각전문),,,영업대상폐기물은 허가증 별첨 — 확인 못 함 (일반폐기물 허가)
13,(주)와이엔텍,중간처분(소각),전라권,제2-3호,영산강유역환경청,2026-01-27,1992-09-21,전라남도,전남 여수시 여수산단로 1232,061-690-6911,"일반소각, 고온소각",,,영업대상폐기물은 허가증 붙임 — 확인 못 함
14,(주)와이엔텍,최종처분(매립),전라권,최종 제3-2호,영산강유역환경청,2026-01-29,2011-03-17,전라남도,전남 여수시 여수산단로 1232(월내동),061-690-6900,지정폐기물 최종처분업,,처분시설 소재지 전남 여수시 월내동 산100번지 일원,영업대상폐기물은 허가증 붙임1 — 확인 못 함
15,신영산업(주),수집·운반,경상권,제1-26호,낙동강유역환경청,2011-12-26,2000-08-02,울산광역시,"울산광역시 남구 산업로 100, 310호",052-256-0755,폐기물 수집·운반업,"지정폐기물 액상 — 폐산, 폐알칼리, 폐유, 폐유기용제, 폐합성고분자화합물, 폐농약, 폴리크로리네이티드비페닐함유폐기물, 폐유독물, 오니류, 폐페인트 및 폐락카",,
16,(주)유니큰 온산공장,폐수 수탁처리,경상권,제2호,울산광역시,2022-11-15,,울산광역시,울산광역시 울주군 온산읍 원산로 59,052-240-7300,폐수 수탁처리업(물환경보전법),"도금폐수, 중금속폐수, 실험실폐수, 폐산폐수, 알카리폐수, 사진폐수, 인쇄폐수, 세척(세관)폐수, 기타폐수",처리시설 420㎥/일 · 폐수운반 탱크로리 · 증기 간접가열식 건조처리 · 물리·화학·생물학적 처리,사무실 울산광역시 남구 용잠로 343(052-229-0612)
